,Timestamp,BTCPrice
0,1641860100000,41854.0410662333910725
1,1641861000000,41785.5706720726312587
2,1641861900000,41766.9731480243677200
3,1641862800000,41732.5552338012129720
4,1641863700000,41731.8889627569148532
5,1641864600000,41858.2249529321379044
6,1641865500000,41999.8638275870704460
7,1641866400000,42002.9907864813183744
8,1641867300000,41958.4950076865208012
9,1641868200000,42213.8830009025006240
10,1641869100000,42240.1624177015297107
11,1641870000000,42287.8083632674787149
12,1641870900000,42184.0001355072435549
13,1641871800000,42221.3966941373501493
14,1641872700000,42248.1150526594840710
15,1641873600000,42320.7991277708650079
16,1641874500000,42255.0406475018169299
17,1641875400000,42292.9781262988881363
18,1641876300000,42345.9963862348284603
19,1641877200000,42376.2594187102556141
20,1641878100000,42284.7755087170498706
21,1641879000000,42138.1566025828325632
22,1641879900000,42213.6828459547756852
23,1641880800000,42187.2271620572339928
24,1641881700000,42259.9972038295515052
25,1641882600000,42209.8049461075254551
26,1641883500000,42168.1144351591171151
27,1641884400000,42153.4385879834036346
28,1641885300000,42223.3701726032349613
29,1641886200000,42258.5414965322642410
30,1641887100000,42212.2768857399056516
31,1641888000000,42289.3679009963913005
32,1641888900000,42378.2896600119903044
33,1641889800000,42328.7931198310461664
34,1641890700000,42128.7999118234845778
35,1641891600000,42047.2030251106215821
36,1641892500000,41982.2269530630074958
37,1641893400000,42083.0332250625455715
38,1641894300000,42164.2659261562462585
39,1641895200000,42091.7576195223819081
40,1641896100000,42055.4949833443811820
41,1641897000000,41895.5596074348629094
42,1641897900000,41826.1502245521746135
43,1641898800000,41700.8811478938801789
44,1641899700000,41840.2482301641808288
45,1641900600000,41851.1716075604210957
46,1641901500000,41860.1639324056263113
47,1641902400000,41921.0424232490844541
48,1641903300000,41949.8696836286252390
49,1641904200000,41957.8767702128373748
50,1641905100000,41986.2207622356317280
51,1641906000000,41924.3085844016736033
52,1641906900000,41924.4180429248910204
53,1641907800000,41807.5801512142442138
54,1641908700000,41702.7806615110441269
55,1641909600000,41757.0582574452661726
56,1641910500000,41805.5997472481408695
57,1641911400000,41551.2455671574993117
58,1641912300000,41481.9541781457308462
59,1641913200000,41663.5743323898082996
60,1641914100000,41970.6916701226513990
61,1641915000000,41887.0386763485643653
62,1641915900000,41657.0203908790280078
63,1641916800000,41749.8928345523397016
64,1641917700000,42155.8894815348373791
65,1641918600000,42425.4228245881124858
66,1641919500000,42778.1125600114307353
67,1641920400000,42757.5013888756300687
68,1641921300000,43055.7901857211735726
69,1641922200000,42659.1025284994924576
70,1641923100000,42658.4079696189635238
71,1641924000000,42629.1067308354014419
72,1641924900000,42590.5148060796912854
73,1641925800000,42743.5548217986929817
74,1641926700000,42882.0116656104797932
75,1641927600000,42813.4491077244642307
76,1641928500000,42802.6397185250936082
77,1641929400000,42817.9652049973119641
78,1641930300000,42865.0930960573503014
79,1641931200000,43054.0814200870270008
80,1641932100000,42960.6634065816445491
81,1641933000000,42930.8976374627384419
82,1641933900000,42885.4577096219706153
83,1641934800000,42829.0284485519327345
84,1641935700000,42837.6268748060085869
85,1641936600000,42787.3239166827721834
86,1641937500000,42785.5306160390649141
87,1641938400000,42748.9174422081814799
88,1641939300000,42737.7486709901339058
89,1641940200000,42715.0170828261678059
90,1641941100000,42729.4910860319703488
91,1641942000000,42795.7515824941137712
92,1641942900000,42935.5594165854821052
93,1641943800000,42898.1785021175080953
94,1641944700000,42864.9319297507239532
95,1641945600000,42779.4110528304346920
96,1641946500000,42971.8873835302830150
97,1641947400000,42885.4720671232065488
98,1641948300000,42719.5527672428366137
99,1641949200000,42751.0785695443504734
100,1641950100000,42721.0275788729214220
101,1641951000000,42745.1280128405964803
102,1641951900000,42691.8732993610166633
103,1641952800000,42698.9991522004001646
104,1641953700000,42732.2252887308118169
105,1641954600000,42692.3192166248876019
106,1641955500000,42651.1211731914011435
107,1641956400000,42599.7224855929228781
108,1641957300000,42599.9411658752067407
109,1641958200000,42664.9741923136367557
110,1641959100000,42714.5653651466990083
111,1641960000000,42679.8133891547583273
112,1641960900000,42761.5922099444853699
113,1641961800000,42690.6548414850486228
114,1641962700000,42646.4979645214311985
115,1641963600000,42683.4291178502512143
116,1641964500000,42738.6152648571366053
117,1641965400000,42758.8943910817365925
118,1641966300000,42775.5725681592951592
119,1641967200000,42760.6433539158904798
120,1641968100000,42759.0854082924314776
121,1641969000000,42744.0849767829841695
122,1641969900000,42787.5401634198809437
123,1641970800000,42723.0069183031366306
124,1641971700000,42620.9067959865019521
125,1641972600000,42579.5815601746012440
126,1641973500000,42672.4912471044152153
127,1641974400000,42641.1552508098492639
128,1641975300000,42732.1654170607592858
129,1641976200000,42699.7312399876786420
130,1641977100000,42665.0804031251690104
131,1641978000000,42683.6042529151188410
132,1641978900000,42746.9112913583052715
133,1641979800000,42896.2755699036047438
134,1641980700000,42762.0787503537150933
135,1641981600000,42840.7437687788935549
136,1641982500000,42970.6086999550658168
137,1641983400000,42960.7330784063930530
138,1641984300000,42864.7232681362913509
139,1641985200000,42868.0666744581712988
140,1641986100000,42828.4024785360081131
141,1641987000000,42827.9177062195245528
142,1641987900000,43114.1047271791972384
143,1641988800000,43015.5809514935234949
144,1641989700000,43031.1295347104500362
145,1641990600000,43159.4394300113876113
146,1641991500000,43183.9146853443752414
147,1641992400000,43305.2623837390297845
148,1641993300000,43354.6309859144964773
149,1641994200000,43433.5690282950892372
150,1641995100000,43936.8872023454912210
151,1641996000000,43950.6523113893895306
152,1641996900000,43826.5107827305531798
153,1641997800000,43894.4667972304608156
